job,nextJobs,prevJobs,jobExec,isBase,path
PSAGCP0002,PSAGCP0003,PSAGCP0001,psag-pe-krb-inr-relnshpbtwncustcogrpp-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0003,PSAGCP0004,PSAGCP0002,psag-pe-spk-qlt-relnshpbtwncustcogrpr-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0004,PSAGCP0005,PSAGCP0003,psag-pe-krb-inm-relnshpbtwncustcogrpp-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0005,PSAGCP0006,PSAGCP0004,psag-pe-spk-qlt-relnshpbtwncustcogrpm-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0006,#N/A,PSAGCP0005,psag-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0007,PSAGCP0008,#N/A,psag-pe-spk-qlt-economicgroups-01,TRUE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0008,"PSAGCP0009, PSAGCP0010",PSAGCP0007,psag-pe-krb-inr-economicgroupp-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0009,#N/A,PSAGCP0008,psag-pe-spk-qlt-economicgroupr-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0010,PSAGCP0011,PSAGCP0008,psag-pe-krb-inm-economicgroupp-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0011,PSAGCP0012,PSAGCP0010,psag-pe-spk-qlt-economicgroupm-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP0012,#N/A,PSAGCP0011,psag-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PSAG/CR-PESAGDIA-T02.xml
PSAGCP4001,#N/A,#N/A,psag-pe-spk-inm-mdlsegmencommercialpea-01,TRUE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4H01,PSAGCP4I01,#N/A,psag-pe-spk-qlt-customersegbysectors-01,TRUE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4I01,"PSAGCP4H02, PSAGCP4I02",PSAGCP4H01,psag-pe-krb-inr-customersegbysectorp-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4H02,#N/A,PSAGCP4I01,psag-pe-spk-qlt-customersegbysectorr-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4I02,PSAGCP4H03,PSAGCP4I01,psag-pe-krb-inm-customersegbysectorp-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4H03,PSAGCP4008,PSAGCP4I02,psag-pe-spk-qlt-customersegbysectorm-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4002,PSAGCP4003,#N/A,psag-pe-spk-qlt-mthlyinfocustsegtcoms-01,TRUE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4003,"PSAGCP4004, PSAGCP4005",PSAGCP4002,psag-pe-krb-inr-mthlyinfocustsegtcomp-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4004,#N/A,PSAGCP4003,psag-pe-spk-qlt-mthlyinfocustsegtcomr-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4005,PSAGCP4006,PSAGCP4003,psag-pe-krb-inm-mthlyinfocustsegtcomp-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4006,PSAGCP4007,PSAGCP4005,psag-pe-spk-qlt-mthlyinfocustsegtcomm-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
PSAGCP4007,#N/A,PSAGCP4006,psag-pe-dfs-rmv-hdfs-01,FALSE,./xmls/Local/PSAG/CR-PESAGMEN-T02.xml
